Phrase,SoundsLike,IPA,DisplayAs,Notes
A.-R.-glasses,,eɪ ɑːr ˈɡlæsɪz,AR Glasses,"Augmented Reality glasses"
A.-R.-headset,,eɪ ɑːr ˈhɛdˌsɛt,AR Headset,"Augmented Reality headset"
A.-R.-kit,,eɑːr kɪt,ARKit,"Apple's AR development platform"
A.-R.-markerless,,eɑːr ˈmɑːkərlɪs,AR Markerless,"Marker-free augmented reality tracking"
A.-R.-overlay,,eɪ ɑːr ˈəʊvəleɪ,AR Overlay,"Augmented Reality overlay"
A.-R.-tracking,,eɑːr ˈtrækɪŋ,AR Tracking,"Position and orientation tracking in AR"
A.-R.-trigger,,eɑːr ˈtrɪɡə,A R Trigger,"Event that activates AR experiences"
A.-W.-S.-I.-O.-T.,,eɪ ˈdʌbəljuː ɛs aɪ əʊ tiː,AWS IoT,"Amazon Web Services Internet of Things"
A.-W.-S.-R.-D.-S.,,eɪ ˈdʌbəljuː ɑːr diː ɛs,AWS RDS,"Amazon Web Services Relational Database Service"
A.-W.-S.-W.-A.-F.,,eɪ ˈdʌbəljuː ɛs ˈdʌbəljuː eɪ ɛf,AWS WAF,"Amazon Web Services Web Application Firewall"
A.-W.-S.-X-Ray,,eɪ ˈdʌbəljuː eks reɪ,AWS X-Ray,"Application performance monitoring service by AWS"
A.-W.-S.-iam,,eɪ ˈdʌbəljuː ɛs aɪ æm,AWS IAM,"Amazon Web Services Identity and Access Management"
A.-W.-S.-lambda,,eɪ ˈdʌbəljuː ˈlæmdə,AWS Lambda,"Serverless compute service by AWS"
A.-W.-S.-rekognition,,eɪ ˈdʌbəljuː rɛkəɡˈnɪʃən,AWS Rekognition,"Image analysis service by AWS"
A.-W.-S.-step-functions,,eɪ ˈdʌbəljuː stɛp ˈfʌŋkʃənz,AWS Step Functions,"Serverless function orchestrator by AWS"
A.I.-first, ,eɪ aɪ fɜːrst, AI-First, "Prioritizing Artificial Intelligence in design and development"
B.-C.-I.,,biː siː aɪ,BCI,"Brain-Computer Interface"
B.-C.-I.-enabled,,biː siː aɪ ɪnˈeɪbəld,BCI-Enabled,"Systems that are enhanced by brain-computer interfaces."
B.-C.-I.-interface,,biː siː aɪ ˈɪntəfeɪs,BCI Interface,"Brain-Computer Interface"
B.-C.-I.-powered,,biː siː aɪ ˈpaʊərd,BCI-Powered,"Operated using brain-computer interface"
B.-C.-I.-technology,,biː siː aɪ tɛkˈnɒlədʒi,BCI Technology,"Brain-Computer Interface technology"
B.-C.-I.-wearable,,biː siː aɪ ˈwɛərəbl,BCI Wearable,"Wearable device with Brain-Computer Interface"
B.-D.-D.,,biː diː diː,BDD,"Behavior-Driven Development"
B.-D.-D.-testing,,biː diː diː ˈtɛstɪŋ,BDD Testing,"Testing using Behavior-Driven Development"
B.-I.,,biː aɪ,BI,"Business Intelligence"
B.-I.-analytics,,biː aɪ əˈnælɪtɪks,BI Analytics,"Business Intelligence analytics"
B.-I.-dashboard,,biː aɪ ˈdæʃbɔːd,BI Dashboard,"Business Intelligence dashboard"
B.-I.-reporting,,biː aɪ rɪˈpɔːtɪŋ,BI Reporting,"Business Intelligence reporting"
B.-I.-tools,,biː aɪ tuːlz,BI Tools,"Business Intelligence tools"
B.-I.-visualization,,biː aɪ ˌvɪʒuəlaɪˈzeɪʃən,BI Visualization,"Business Intelligence visualization"
B.-T.-S.,,biː tiː ɛs,BTS,"Behind-the-Scenes"
C.-C.-T.-V.,,siː siː tiː viː,CCTV,"Closed-Circuit Television"
C.-D.-N.,,siː diː ɛn,CDN,"Content Delivery Network"
C.-D.-N.-P.-O.-P.,,siː diː ɛn pɒp,CND POP,"Content Delivery Network Point of Presence"
C.-D.-N.-enabled,,siː diː ɛn ɪnˈeɪbəld,CDN-Enabled,"Content delivery networks that are optimized for performance."
C.-D.-N.-provider,,siː diː ɛn prəˈvaɪdər,CDN Provider,"Content Delivery Network provider"
C.-D.-N.-service,,siː diː ɛn ˈsɜːvɪs,CDN Service,"Content Delivery Network service"
C.-F.-R.,,siː ɛf ɑːr,CFR,"Code of Federal Regulations"
C.-F.-R.-two-zero-one,,siː ɛf ɑːr tuː zɪəro wʌn,CFR 201,"Code of Federal Regulations Title 21"
C.-H.-A.-T.,,siː eɪtʃ æt,CHAT,"Conversational AI chatbot"
C.-I.-C.-D.,,siː aɪ siː diː,CI/CD,"Continuous Integration/Continuous Deployment"
C.-I.-C.-D.-pipeline,,siː aɪ siː diː ˈpaɪplaɪn,CI/CD Pipeline,"Continuous Integration/Continuous Deployment pipeline"
C.-I.-C.-D.-tools,,siː aɪ siː diː tuːlz,CI/CD Tools,"Continuous Integration/Continuous Deployment tools"
C.-I.-pipeline,,siː aɪ ˈpaɪplaɪn,CI Pipeline,"Continuous Integration Pipeline"
C.-L.-I.,,siː ɛl aɪ,CLI,"Command Line Interface"
C.-L.-I.-command,,siː ɛl aɪ kəˈmænd,CLI Command,"Command Line Interface command"
C.-L.-I.-tool,,siː ɛl aɪ tuːl,CLI Tool,"Command Line Interface tool"
C.-M.-D.-B.,,siː ɛm diː biː,CMDB,"Configuration Management Database"
C.-M.-D.-B.-integration,,siː ɛm diː biː ɪntɪˈgreɪʃən,CMDB Integration,"Integrating CMDB with other systems"
C.-M.-D.-B.-tool,,siː ɛm diː biː tuːl,CMDB Tool,"Configuration Management Database tool"
C.-M.-P.,,siː ɛm piː,CMP,"Customer Management Platform"
C.-N.-P.,,siː ɛn piː,CNP,"Card Not Present"
C.-O.-D.-E.,,siː əʊ diː iː,CODE,"Create Once, Deploy Everywhere"
C.-P.-G.,,siː piː dʒiː,CPG,"Consumer Packaged Goods"
C.-P.-G.-brand,,siː piː dʒiː brænd,CPG Brand,"Consumer Packaged Goods brand"
C.-P.-G.-company,,siː piː dʒiː ˈkʌmpəni,CPG Company,"Consumer Packaged Goods company"
C.-P.-G.-product,,siː piː dʒiː ˈprɒdʌkt,CPG Product,"Consumer Packaged Goods product"
C.-Q.-R.-S.,,siː kjuː ɑːr ɛs,CQRS,"Command Query Responsibility Segregation"
C.-Q.-R.-S.-pattern,,siː kjuː ɑːr ɛs ˈpætərn,CQRS Pattern,"Command Query Responsibility Segregation pattern"
C.-R.-I.-S.-P.-R.-based,,ˈkrɪspər beɪst,CRISPR-Based,"Using CRISPR gene editing technology"
C.-R.-I.-S.-P.-R.-technology,,ˈkrɪspər tɛkˈnɒlədʒi,CRISPR Technology,"CRISPR gene editing technology"
C.-R.-M.,,siː ɑːr ɛm,CRM,"Customer Relationship Management"
C.-R.-M.-two-zero-one-five,,siː ɑːr ɛm tuː zɪəro wʌn faɪv,CRM 2015,"Customer Relationship Management software version"
C.-S.-A.,,siː ɛs eɪ,CSA,"Cloud Security Alliance"
C.-S.-R.,,siː ɛs ɑːr,CSR,"Corporate Social Responsibility"
C.-S.-R.-F.,,siː ɛs ɑːr ɛf,CSRF,"Cross-Site Request Forgery"
C.-S.-R.-F.-attack,,siː ɛs ɑːr ɛf əˈtæk,CSRF Attack,"Cross-Site Request Forgery attack"
C.-T.-F.,,siː tiː ɛf,CTF,"Capture The Flag"
C.-T.-F.-challenge,,siː tiː ɛf tʃælɪndʒ,CTF Challenge,"Capture The Flag competition"
C.-T.-F.-competition,,siː tiː ɛf kɒmpɪˈtɪʃən,CTF Competition,"Capture The Flag competition"
C.-T.-F.-event,,siː tiː ɛf ɪˈvɛnt,CTF Event,"Capture The Flag event"
C.-T.-F.-game,,siː tiː ɛf ɡeɪm,CTF Game,"Capture The Flag game"
C.-plus-plus,,siː plʌs plʌs,C++,"Programming language"
C.-plus-plus-compiler,,siː plʌs plʌs kəmˈpaɪlər,C++ Compiler,"Compiler for C++ programming language"
C.-plus-plus-library,,siː plʌs plʌs ˈlaɪbrəri,C++ Library,"Library for C++ programming language"
C.-plus-plus-program,,siː plʌs plʌs ˈproʊɡræm,C++ Program,"Program written in C++"
C.D.-C.I., ,siː diː siː aɪ, CD/CI, "Continuous Deployment/Continuous Integration"
D.-A.-O.,,diː eɪ əʊ,DAO,"Decentralized Autonomous Organization"
D.-B.-A.-S.,,diː biː eɪ ɛs,DBAS,"Database as a Service."
D.-B.-two-zero-one-five,,diː biː tuː zɪəro wʌn faɪv,DB 2015,"Database software version"
D.-D.-O.-S.,,diː diː əʊ ɛs,DDoS,"Distributed Denial of Service"
D.-D.-O.-S.-attack,,diː diː əʊ ɛs əˈtæk,DDoS Attack,"Distributed Denial of Service attack"
D.-D.-O.-S.-mitigation,,diː diː əʊ ɛs maɪˈteɪʃən,DDoS Mitigation,"Preventing or reducing DDoS attacks"
D.-D.-O.-S.-protection,,diː diː əʊ ɛs prəˈtɛkʃən,DDoS Protection,"Protecting against DDoS attacks"
D.-E.-I.,,diː iː aɪ,DEI,"Diversity, Equity, and Inclusion"
D.-F.,,diː ɛf,DF,"Digital Forensics"
D.-F.-analysis,,diː ɛf əˈnælɪsɪs,DF Analysis,"Digital Forensics analysis"
D.-F.-investigation,,diː ɛf ɪnˌvɛstɪˈɡeɪʃən,DF Investigation,"Digital Forensics investigation"
D.-F.-tool,,diː ɛf tuːl,DF Tool,"Digital Forensics tool"
D.-L.-T.,,diː ɛl tiː,DLT,"Distributed Ledger Technology"
D.-N.-A.,,diː ɛn eɪ,DNA,"Deoxyribonucleic Acid"
D.-N.-A.-sequencing,,diː ɛn eɪ siˈkwɛnsɪŋ,DNA Sequencing,"Determining DNA order"
D.-N.-A.-testing,,diː ɛn eɪ ˈtɛstɪŋ,DNA Testing,"Analyzing DNA for genetic information"
D.-N.-S.,,diː ɛn ɛs,DNS,"Domain Name System"
D.-N.-S.-server,,diː ɛn ɛs ˈsɜːvər,DNS Server,"Domain Name System server"
D.-N.-S.-service,,diː ɛn ɛs ˈsɜːvɪs,DNS Service,"Domain Name System service"
D.-P.-A.,,diː piː eɪ,DPA,"Data Protection Act"
D.-R.-I.,,diː ɑːr aɪ,DRI,"Directly Responsible Individual"
D.-R.-I.-V.-E.,,diː ɑːr aɪ draɪv,DRI-V-E,"Directly Responsible Individual - Vision, Execution"
D.-R.-I.-role,,diː ɑːr aɪ roʊl,DRI Role,"Directly Responsible Individual role"
D.-S.-L.,,diː ɛs ɛl,DLS,"Data Loss Prevention"
D.-T.-A.,,diː tiː eɪ,Dta,"Data Transfer Agreement"
D.-V.-W.-A.,,diː viː wɔː,DVWA,"Damn Vulnerable Web Application"
D.R.Y.,,diː ɑːr waɪ, DRY,"Don't Repeat Yourself (software development principle)"
E.-B.-two-zero-one-five,,iː biː tuː zɪəro wʌn faɪv,EB 2015,"Enterprise software version"
E.-C.-two-instance,,iː siː tuː ɪnstæns,EC2 Instance,"Virtual server in Amazon EC2"
E.-C.-two-spot-instance,,iː siː tuː spɒt ɪnstæns,EC2 Spot Instance,"Low-cost, interruptible EC2 instances"
E.-D.-I.,,iː diː aɪ,EDI,"Electronic Data Interchange."
E.-E.-G.,,iː iː dʒiː,EEG,"Electroencephalogram"
E.-E.-G.-monitoring,,iː iː dʒiː ˈmɒnɪtərɪŋ,EEG Monitoring,"Electroencephalogram monitoring"
E.-E.-G.-signal,,iː iː dʒiː ˈsɪɡnəl,EEG Signal,"Electroencephalogram signal"
E.-E.-G.-wave,,iː iː dʒiː weɪv,EEG Wave,"Electroencephalogram wave"
E.-F.-S.,,iː ɛf ɛs,EFS,"Elastic File System"
E.-I.-P.,,iː aɪ piː,EIP,"Elastic IP"
E.-K.-S.,,iː keɪ ɛs,EKS,"Elastic Kubernetes Service"
E.-L.-B.,,iː ɛl biː,ELB,"Elastic Load Balancer"
E.-M.-P.,,iː ɛm piː,EMP,"Electromagnetic Pulse"
E.-M.-P.-attack,,iː ɛm piː əˈtæk,EMP Attack,"Electromagnetic Pulse attack"
E.-M.-P.-protection,,iː ɛm piː prəˈtɛkʃən,EMP Protection,"Protection against Electromagnetic Pulses"
E.-M.-R.,,iː ɛm ɑːr,EMR,"Elastic MapReduce"
E.-R.-D.,,iː ɑːr diː,Erd,"Entity Relationship Diagram"
E.-S.,,iː ɛs,ES,"Elasticsearch"
E.-S.-two-zero-one-five,,iː ɛs tuː zɪəro wʌn faɪv,ES 2015,"Elasticsearch software version"
E.-T.-L.,,iː tiː ɛl,ETL,"Extract, Transform, Load"
E.-T.-L.-pipeline,,iː tiː ɛl paɪplaɪn,ETL Pipeline,"Data processing workflow"
E.-T.-L.-process,,iː tiː ɛl ˈprɒsɛs,ETL Process,"Extract, Transform, Load process"
E.-T.-L.-tool,,iː tiː ɛl tuːl,ETL Tool,"Extract, Transform, Load tool"
E.-V.,,iː viː,EV,"Electric Vehicle"
E.-V.-charging,,iː viː ˈtʃɑːrdʒɪŋ,EV Charging,"Electric Vehicle charging"
E.-V.-station,,iː viː ˈsteɪʃən,EV Station,"Electric Vehicle charging station"
E.-reader-device,,iː ˈriːdər dɪˈvaɪs,E-Reader Device,"Digital book reading device"
E.-readers,,iː ˈriːdərz,E-Readers,"Digital book devices"
F.-A.-S.-T.,,ɛf eɪ ɛs tiː,Fast,"Feature Flags"
F.-C.-M.,,ɛf siː ɛm,FCM,"Firebase Cloud Messaging"
F.-D.-R.,,ɛf diː ɑːr,FDR,"Full Disk Encryption"
F.-G.-W.,,ɛf dʒiː wɔː,FGW,"Firewall Gateway"
F.-I.-R.-E.,,ɛf aɪ ɑːr iː,FIRE,"Financial Independence, Retire Early"
F.-M.-P.,,ɛf ɛm piː,FMP,"FileMaker Pro"
F.-Q.-D.-N.,,ɛf kjuː dɪ ɛn,FQDN,"Fully Qualified Domain Name"
F.-R.-P.,,ɛf ɑːr piː,FPR,"False Positive Rate"
F.-T.-P.,,ɛf tiː piː,FTP,"File Transfer Protocol"
F.-T.-P.-S.,,ɛf tiː piː ɛs,FTPS,"FTP Secure"
F.-T.-P.-S.-client,,ɛf tiː piː ɛs ˈklaɪənt,FTPS Client,"FTP Secure client"
F.-T.-P.-S.-server,,ɛf tiː piː ɛs ˈsɜːvər,FTPS Server,"FTP Secure server"
F.-T.-P.-client,,ɛf tiː piː ˈklaɪənt,FTP Client,"File Transfer Protocol client"
F.-T.-P.-server,,ɛf tiː piː ˈsɜːvər,FTP Server,"File Transfer Protocol server"
F.A.A.S., ,ɛf eɪ eɪ ɛs, FaaS, "Function as a Service"
G.-A.,,dʒiː eɪ,Ga,"Google Analytics"
G.-C.-P.,,dʒiː siː piː,GCP,"Google Cloud Platform"
G.-D.-P.-R.,,dʒiː diː piː ɑːr,GDPR,"General Data Protection Regulation"
G.-H.-C.,,dʒiː ɑːtʃ siː,GHC,"Glasgow Haskell Compiler"
G.-I.,,dʒiː aɪ,GI,"Graphical Interface"
G.-L.-U.-E.,,dʒiː ɛl juː iː,GLUE,"General Language Understanding Evaluation"
G.-M.-P.,,dʒiː ɛm piː,GMP,"Good Manufacturing Practice"
G.-R.-A.-S.-P.,,dʒiː ɑːr æsp,G RASP,"Generic Runtime Application Self-Protection"
G.-R.-P.-C.,,dʒiː ɑːr piː siː,GRPC,"gRPC Remote Procedure Call"
G.-R.-P.-C.-client,,dʒiː ɑːr piː siː ˈklaɪənt,gRPC Client,"gRPC Remote Procedure Call client"
G.-R.-P.-C.-server,,dʒiː ɑːr piː siː ˈsɜːvər,gRPC Server,"gRPC Remote Procedure Call server"
G.-T.-C.,,dʒiː tiː siː,GTC,"Going To Close"
G.D.P.R., ,dʒiː diː piː ɑːr, GDPR, "General Data Protection Regulation"
H.-A.-L.,,eɪtʃ ɛl,HAL,"Hardware Abstraction Layer"
H.-C.-I.,,eɪtʃ siː aɪ,HCI,"Human-Computer Interaction or Hyperconverged Infrastructure"
H.-C.-I.-design,,eɪtʃ siː aɪ dɪˈzaɪn,HCI Design,"Human-Computer Interaction design"
H.-C.-I.-principle,,eɪtʃ siː aɪ ˈprɪnsɪpəl,HCI Principle,"Human-Computer Interaction principle"
H.-C.-I.-research,,eɪtʃ siː aɪ rɪˈsɜːtʃ,HCI Research,"Human-Computer Interaction research"
H.-C.-P.,,eɪtʃ siː piː,HCP,"Hybrid Cloud Platform"
H.-D.-R.,,eɪtʃ diː ɑːr,HDR,"High Dynamic Range"
H.-M.-I.,,eɪtʃ ɛm aɪ,HMI,"Human-Machine Interface"
H.-P.-A.,,eɪtʃ piː eɪ,HPA,"High Performance Analytics"
H.-R.,,eɪtʃ ɑːr,HR,"Human Resources"
H.-R.-T.,,eɪtʃ ɑːr tiː,HRT,"Human Resources Technology"
H.-R.-department,,eɪtʃ ɑːr dɪˈpɑːrtmənt,HR Department,"Human Resources department"
H.-R.-management,,eɪtʃ ɑːr ˈmænɪdʒmənt,HR Management,"Human Resources management"
H.-R.-policy,,eɪtʃ ɑːr ˈpɒləsi,HR Policy,"Human Resources policy"
H.-R.-software,,eɪtʃ ɑːr ˈsɒftwɛər,HR Software,"Human Resources software"
H.-T.-T.-P.-S.,,eɪtʃ tiː tiː piː ɛs,HTTPS,"Hypertext Transfer Protocol Secure"
H.-T.-T.-P.-S.-client,,eɪtʃ tiː tiː piː ɛs ˈklaɪənt,HTTPS Client,"Hypertext Transfer Protocol Secure client"
H.-T.-T.-P.-S.-server,,eɪtʃ tiː tiː piː ɛs ˈsɜːvər,HTTPS Server,"Hypertext Transfer Protocol Secure server"
I.-A.,,aɪ eɪ,I.A.,"Intelligence Augmentation"
I.-B.-M.,,aɪ biː ɛm,IBM,"International Business Machines"
I.-C.-S.,,aɪ siː ɛs,ICS,"Industrial Control System"
I.-D.-A.,,aɪ diː eɪ,ID.A.,"Intelligent Data Analytics"
I.-D.-E.,,aɪ diː iː,IDE,"Integrated Development Environment"
I.-D.-E.-A.-S.,,aɪ diː iː eɪ ɛs,IDEAS,"Integrated Development Environment with Advanced Services"
I.-D.-E.-extension,,aɪ diː iː ɪkˈstɛnʃən,IDE Extension,"Integrated Development Environment extension"
I.-D.-E.-plugin,,aɪ diː iː ˈplʌɡɪn,IDE Plugin,"Integrated Development Environment plugin"
I.-D.-E.-tool,,aɪ diː iː tuːl,IDE Tool,"Integrated Development Environment tool"
I.-D.-P.,,aɪ diː piː,ID.P.,"Identity Provider"
I.-D.-R.,,aɪ diː ɑːr,ID.R.,"Incident Detection and Response"
I.-E.,,aɪ iː,I.E.,"Internet Explorer"
I.-F.-T.,,aɪ ɛf tiː,I.F.T.,"If This Then"
I.-G.-N.,,aɪ dʒiː ɛn,I.G.N.,"I Gotta Network"
I.-M.,,aɪ ɛm,I.M.,"Instant Messaging"
I.-M.,,aɪ ɛm,IM,"Instant Messaging"
I.-M.-O.-C.,,aɪ ɛm əʊ siː,IMOC,"In My Own Context"
I.-M.-application,,aɪ ɛm ˌæplɪˈkeɪʃən,IM Application,"Instant Messaging application"
I.-M.-platform,,aɪ ɛm ˈplætfɔːm,IM Platform,"Instant Messaging platform"
I.-M.-service,,aɪ ɛm ˈsɜːvɪs,IM Service,"Instant Messaging service"
I.-M.-tool,,aɪ ɛm tuːl,IM Tool,"Instant Messaging tool"
I.-O.-T.,,aɪ oʊ tiː,I.O.T.,"Internet of Things"
I.-O.-T.,,aɪ əʊ tiː,IOT,"Internet of Things"
I.-O.-T.-device,,aɪ əʊ tiː dɪˈvaɪs,IoT Device,"Internet of Things device"
I.-O.-T.-enabled,,aɪ əʊ tiː ɪnˈeɪbəld,IoT-Enabled,"Connected to Internet of Things"
I.-O.-T.-network,,aɪ əʊ tiː ˈnɛtwɜːrk,IoT Network,"Internet of Things network"
I.-O.-T.-platform,,aɪ əʊ tiː ˈplætfɔːm,IoT Platform,"Internet of Things platform"
I.-O.-T.-sensor,,aɪ əʊ tiː ˈsɛnsər,IoT Sensor,"Internet of Things sensor"
I.-O.-T.-system,,aɪ əʊ tiː ˈsɪstəm,IoT System,"Internet of Things system"
I.-P.,,aɪ piː,I.P.,"Intellectual Property"
I.-P.-A.,,aɪ piː eɪ,I.P.A.,"Internet Protocol Address"
I.-R.,,aɪ ɑːr,IR,"Infrared"
I.-R.-M.,,aɪ ɑːr ɛm,I.R.M.,"Information Rights Management"
I.-R.-camera,,aɪ ɑːr ˈkæmərə,IR Camera,"Infrared camera"
I.-R.-sensor,,aɪ ɑːr ˈsɛnsər,IR Sensor,"Infrared sensor"
I.-S.-O.,,aɪ ɛsoʊ,I.S.O.,"International Organization for Standardization"
I.-T.,,aɪ tiː,I.T.,"Information Technology"
I.-T.-department,,aɪ tiː dɪˈpɑːrtmənt,IT Department,"Information Technology department"
I.-T.-infrastructure,,aɪ tiː ˈɪnfrəstrʌktʃər,IT Infrastructure,"Information Technology infrastructure"
I.-T.-management,,aɪ tiː ˈmænɪdʒmənt,IT Management,"Information Technology management"
I.-T.-policy,,aɪ tiː ˈpɒləsi,IT Policy,"Information Technology policy"
I.-T.-security,,aɪ tiː siˈkjʊərəti,IT Security,"Information Technology security"
I.-T.-service,,aɪ tiː ˈsɜːvɪs,IT Service,"Information Technology service"
I.-T.-solution,,aɪ tiː səˈluːʃən,IT Solution,"Information Technology solution"
I.-T.-support,,aɪ tiː səˈpɔːrt,IT Support,"Information Technology support"
I.o.T.-security, ,aɪ əʊ tiː sɪˈkjʊərɪti, IoT Security, "Measures to secure Internet of Things devices and networks"
J.-D.-K.,,dʒiː diː keɪ,J.D.K.,"Java Development Kit"
J.-S.,,dʒiː ɛs,J.S.,"JavaScript"
J.-W.-T.,,dʒeɪ ˈdʌbəljuː tiː,JWT,"JSON Web Token"
J.-W.-T.-token,,dʒeɪ ˈdʌbəljuː ˈtoʊkən,JWT Token,"JSON Web Token"
J.-son,,ˈdʒeɪsən,JSON,"JavaScript Object Notation"
J.-son-data,,ˈdʒeɪsən ˈdeɪtə,JSON Data,"JavaScript Object Notation data"
J.-son-file,,ˈdʒeɪsən faɪl,JSON File,"JavaScript Object Notation file"
J.-son-schema,,ˈdʒeɪsən ˈskiːmə,JSON Schema,"JavaScript Object Notation schema"
K.-A.-I.,,keɪ eɪ aɪ,K.A.I.,"Knowledge Augmented Intelligence"
K.-B.-I.,,keɪ biː aɪ,K.B.I.,"Knowledge-Based Intelligence"
K.-D.-N.,,keɪ diː ɛn,K.D.N.,"Key Distribution Node"
K.-E.-D.-B.,,keɪ iː diː biː,KEDB,"Known Error Database"
K.-E.-D.-B.-entry,,keɪ iː diː biː ˈɛntri,KEDB Entry,"Known Error Database entry"
K.-E.-D.-B.-record,,keɪ iː diː biː ˈrɛkɔːrd,KEDB Record,"Known Error Database record"
K.-E.-D.-B.-system,,keɪ iː diː biː ˈsɪstəm,KEDB System,"Known Error Database system"
K.-eight-s-cluster,,keɪ eɪts ˈklʌstə,K8s Cluster,"Kubernetes Cluster"
K.-eight-s-cluster-management,,keɪ eɪts ˈklʌstər ˈmænɪdʒmənt,K8s Cluster Management,"Kubernetes Cluster management"
K.-eight-s-cluster-node,,keɪ eɪts ˈklʌstər noʊd,K8s Cluster Node,"Kubernetes Cluster node"
K.-eight-s-cluster-service,,keɪ eɪts ˈklʌstər ˈsɜːvɪs,K8s Cluster Service,"Kubernetes Cluster service"
K.-eight-s-cluster-tool,,keɪ eɪts ˈklʌstər tuːl,K8s Cluster Tool,"Kubernetes Cluster tool"
K.-eight-s-deployment,,keɪ eɪts dɪˈplɔɪmənt,K8s Deployment,"Kubernetes deployment"
K.-eight-s-pod,,keɪ eɪts pɒd,K8s Pod,"Kubernetes pod"
K.-eight-s-service,,keɪ eɪts ˈsɜːvɪs,K8s Service,"Kubernetes service"
K.-eights,,keɪ eɪts,K8s,"Short for Kubernetes"
